date,product_id,demand
2024-07-01,P00,22
2024-07-02,P00,15
2024-07-03,P00,18
2024-07-04,P00,19
2024-07-05,P00,22
2024-07-06,P00,5
2024-07-07,P00,3
2024-07-08,P00,19
2024-07-09,P00,19
2024-07-10,P00,18
2024-07-11,P00,18
2024-07-12,P00,19
2024-07-13,P00,4
2024-07-14,P00,5
2024-07-15,P00,20
2024-07-16,P00,14
2024-07-17,P00,16
2024-07-18,P00,16
2024-07-19,P00,18
2024-07-20,P00,3
2024-07-21,P00,10
2024-07-22,P00,15
2024-07-23,P00,13
2024-07-24,P00,24
2024-07-25,P00,18
2024-07-26,P00,24
2024-07-27,P00,5
2024-07-28,P00,5
2024-07-29,P00,18
2024-07-30,P00,15
2024-07-31,P00,39
2024-08-01,P00,17
2024-08-02,P00,17
2024-08-03,P00,1
2024-08-04,P00,8
2024-08-05,P00,19
2024-08-06,P00,14
2024-08-07,P00,22
2024-08-08,P00,19
2024-08-09,P00,15
2024-08-10,P00,4
2024-08-11,P00,1
2024-08-12,P00,20
2024-08-13,P00,17
2024-08-14,P00,7
2024-08-15,P00,14
2024-08-16,P00,8
2024-08-17,P00,3
2024-08-18,P00,9
2024-08-19,P00,17
2024-08-20,P00,15
2024-08-21,P00,12
2024-08-22,P00,13
2024-08-23,P00,15
2024-08-24,P00,10
2024-08-25,P00,6
2024-08-26,P00,21
2024-08-27,P00,13
2024-08-28,P00,18
2024-08-29,P00,17
2024-08-30,P00,16
2024-08-31,P00,3
2024-09-01,P00,8
2024-09-02,P00,12
2024-09-03,P00,16
2024-09-04,P00,20
2024-09-05,P00,25
2024-09-06,P00,18
2024-09-07,P00,2
2024-09-08,P00,5
2024-09-09,P00,20
2024-09-10,P00,22
2024-09-11,P00,18
2024-09-12,P00,22
2024-09-13,P00,11
2024-09-14,P00,3
2024-09-15,P00,0
2024-09-16,P00,17
2024-09-17,P00,20
2024-09-18,P00,6
2024-09-19,P00,16
2024-09-20,P00,20
2024-09-21,P00,6
2024-09-22,P00,4
2024-09-23,P00,15
2024-09-24,P00,16
2024-09-25,P00,13
2024-09-26,P00,10
2024-09-27,P00,15
2024-09-28,P00,3
2024-09-29,P00,5
2024-09-30,P00,15
2024-10-01,P00,16
2024-10-02,P00,17
2024-10-03,P00,16
2024-10-04,P00,13
2024-10-05,P00,9
2024-10-06,P00,2
2024-10-07,P00,13
2024-10-08,P00,18
2024-10-09,P00,20
2024-10-10,P00,16
2024-10-11,P00,18
2024-10-12,P00,4
2024-10-13,P00,3
2024-10-14,P00,10
2024-10-15,P00,8
2024-10-16,P00,14
2024-10-17,P00,21
2024-10-18,P00,12
2024-10-19,P00,3
2024-10-20,P00,5
2024-10-21,P00,15
2024-10-22,P00,14
2024-10-23,P00,14
2024-10-24,P00,19
2024-10-25,P00,15
2024-10-26,P00,5
2024-10-27,P00,2
2024-10-28,P00,15
2024-10-29,P00,17
2024-10-30,P00,16
2024-10-31,P00,20
2024-11-01,P00,9
2024-11-02,P00,8
2024-11-03,P00,1
2024-11-04,P00,13
2024-11-05,P00,15
2024-11-06,P00,18
2024-11-07,P00,6
2024-11-08,P00,18
2024-11-09,P00,3
2024-11-10,P00,2
2024-11-11,P00,20
2024-11-12,P00,19
2024-11-13,P00,12
2024-11-14,P00,10
2024-11-15,P00,13
2024-11-16,P00,7
2024-11-17,P00,2
2024-11-18,P00,30
2024-11-19,P00,23
2024-11-20,P00,12
2024-11-21,P00,12
2024-11-22,P00,17
2024-11-23,P00,4
2024-11-24,P00,8
2024-11-25,P00,10
2024-11-26,P00,14
2024-11-27,P00,26
2024-11-28,P00,7
2024-11-29,P00,12
2024-11-30,P00,2
2024-12-01,P00,4
2024-12-02,P00,29
2024-12-03,P00,14
2024-12-04,P00,11
2024-12-05,P00,14
2024-12-06,P00,6
2024-12-07,P00,2
2024-12-08,P00,2
2024-12-09,P00,16
2024-12-10,P00,16
2024-12-11,P00,36
2024-12-12,P00,19
2024-12-13,P00,14
2024-12-14,P00,6
2024-12-15,P00,2
2024-12-16,P00,31
2024-12-17,P00,13
2024-12-18,P00,10
2024-12-19,P00,11
2024-12-20,P00,20
2024-12-21,P00,2
2024-12-22,P00,4
2024-12-23,P00,12
2024-12-24,P00,16
2024-12-25,P00,17
2024-12-26,P00,14
2024-12-27,P00,36
2024-12-28,P00,4
2024-12-29,P00,5
2024-12-30,P00,14
2024-12-31,P00,18
2025-01-01,P00,10
2025-01-02,P00,20
2025-01-03,P00,19
2025-01-04,P00,8
2025-01-05,P00,5
2025-01-06,P00,11
2025-01-07,P00,25
2025-01-08,P00,13
2025-01-09,P00,16
2025-01-10,P00,26
2025-01-11,P00,3
2025-01-12,P00,7
2025-01-13,P00,17
2025-01-14,P00,18
2025-01-15,P00,13
2025-01-16,P00,18
2025-01-17,P00,15
2025-01-18,P00,6
2025-01-19,P00,5
2025-01-20,P00,15
2025-01-21,P00,14
2025-01-22,P00,23
2025-01-23,P00,17
2025-01-24,P00,17
2025-01-25,P00,5
2025-01-26,P00,2
2025-01-27,P00,25
2025-01-28,P00,17
2025-01-29,P00,22
2025-01-30,P00,16
2025-01-31,P00,22
2025-02-01,P00,6
