product_id,period_t,ending_stock,stockout
P00,1,133.71661,0.0
P00,2,58.354125,0.0
P00,3,58.354125,0.0
P00,4,58.354125,0.0
P01,1,145.49923,0.0
P01,2,49.736974,0.0
P01,3,40.807246,0.0
P01,4,40.807246,0.0
P02,1,168.18904,0.0
P02,2,59.108962,0.0
P02,3,59.108962,0.0
P02,4,59.108962,0.0
P03,1,221.35996,0.0
P03,2,128.51254,0.0
P03,3,32.943146,0.0
P03,4,32.943146,0.0
P04,1,461.98512,0.0
P04,2,171.58292,0.0
P04,3,427.49993,0.0
P04,4,119.68957,0.0
P05,1,365.58749,0.0
P05,2,480.90631,0.0
P05,3,111.2102,0.0
P05,4,111.2102,0.0
P06,1,473.87852,0.0
P06,2,203.50855,0.0
P06,3,315.05783,0.0
P06,4,46.087261,0.0
P07,1,225.94403,0.0
P07,2,357.1874,0.0
P07,3,54.913042,0.0
P07,4,54.913042,0.0
P08,1,178.17989,0.0
P08,2,56.421061,0.0
P08,3,40.399634,0.0
P08,4,40.399634,0.0
P09,1,189.32563,0.0
P09,2,266.91984,0.0
P09,3,41.3652,0.0
P09,4,41.3652,0.0
P10,1,472.50208,0.0
P10,2,98.152141,0.0
P10,3,82.524985,0.0
P10,4,93.184737,0.0
P11,1,306.75497,0.0
P11,2,342.2485,0.0
P11,3,75.780703,0.0
P11,4,75.780703,0.0
P12,1,344.60535,0.0
P12,2,423.89144,0.0
P12,3,97.63557,0.0
P12,4,97.63557,0.0
P13,1,146.3678,0.0
P13,2,46.30467,0.0
P13,3,46.30467,0.0
P13,4,46.30467,0.0
P14,1,193.89443,0.0
P14,2,50.525328,0.0
P14,3,50.525328,0.0
P14,4,50.525328,0.0
P15,1,310.13249,0.0
P15,2,1258.207,0.0
P15,3,704.43216,0.0
P15,4,118.60991,0.0
P16,1,574.28094,0.0
P16,2,155.93402,0.0
P16,3,574.37915,0.0
P16,4,123.40739,0.0
P17,1,2867.1019,0.0
P17,2,925.47073,0.0
P17,3,2593.2924,0.0
P17,4,590.2804,0.0
P18,1,1291.6383,0.0
P18,2,2821.6375,0.0
P18,3,1672.258,0.0
P18,4,441.4245,0.0
P19,1,901.11872,0.0
P19,2,223.70672,0.0
P19,3,977.89514,0.0
P19,4,215.5633,0.0
P20,1,575.51525,0.0
P20,2,293.59674,0.0
P20,3,322.83554,0.0
P20,4,48.665622,0.0
P21,1,798.71684,0.0
P21,2,460.59426,0.0
P21,3,466.55975,0.0
P21,4,136.85793,0.0
P22,1,799.61166,0.0
P22,2,123.58299,5.1639
P22,3,853.00977,0.0
P22,4,123.58299,0.0
P23,1,556.11911,0.0
P23,2,2312.3947,0.0
P23,3,1329.2666,0.0
P23,4,282.70324,0.0
P24,1,317.01531,0.0
P24,2,646.00894,0.0
P24,3,365.15639,0.0
P24,4,91.953704,0.0
P25,1,422.32198,0.0
P25,2,163.57105,0.0
P25,3,320.95217,0.0
